Username,Name,Text,Date,Comments,Retweets,Quotes,Likes
@elonmusk,Elon Musk,"Just a reminder that Earth is almost empty of humans, contrary to what many people think https://waitbutwhy.com/2015/03/7-3-billion-people-one-building.html","May 25, 2024 Â· 1:51 AM UTC",14784,20352,2146,101868
@elonmusk,Elon Musk,"Anything that potentially challenges the Standard Model is a very interesting experiment.   Wild that Germanium-76 takes 100 trillion times the age of the universe to decay, yet it is observable in a year in you have ~1 ton of it!  https://newscenter.lbl.gov/2012/05/16/majorana-demonstrator/","May 25, 2024 Â· 7:08 PM UTC",1955,2548,113,13157
@elonmusk,Elon Musk,â€œTesla is far ahead in self-driving carsâ€ â€“ Jensen Huang,"May 25, 2024 Â· 4:59 PM UTC",2664,4411,352,38289
@elonmusk,Elon Musk,,"May 25, 2024 Â· 3:39 PM UTC",4338,19557,1397,120144
@elonmusk,Elon Musk,"The goal of citizenship for all illegals is very clearly stated by the leader of the Senate.  For some reason, a lot of people still think this is some crazy conspiracy theory!","May 25, 2024 Â· 5:27 AM UTC",18736,46125,4079,191953
@elonmusk,Elon Musk,WhatsApp exports your user data every night.   Some people still think it is secure.,"May 25, 2024 Â· 1:15 AM UTC",4427,16693,908,72901
@SpaceX,SpaceX,"Starship is designed to fundamentally alter humanityâ€™s access to space, ultimately enabling us to make life multiplanetary. The third flight test of Starship and Super Heavy was an important step on the road to rapidly reliable reusable rockets.  spacex.com/updates/#flight-3â€¦","May 24, 2024 Â· 1:33 PM UTC",633,2017,154,14280
@elonmusk,Elon Musk,Great show!,"May 25, 2024 Â· 12:19 AM UTC",4135,11757,390,193585
@boringcompany,The Boring Company,2 million passengers!,"May 24, 2024 Â· 11:32 PM UTC",298,676,27,5439
@elonmusk,Elon Musk,Improvements to Communities,"May 24, 2024 Â· 11:26 PM UTC",1538,2905,74,15758
@elonmusk,Elon Musk,Itâ€™s a real thing that you can try today,"May 24, 2024 Â· 11:12 PM UTC",2620,5003,332,45503
@elonmusk,Elon Musk,"The Boring Company connects another hotel in Vegas!  Within a few years, you will be able to get to all major destinations in the city super fast with electric cars in tunnels.   No need to imagine, you can try it today between Resorts World and the Convention Center!","May 24, 2024 Â· 11:06 PM UTC",3916,8226,623,79037
@elonmusk,Elon Musk,Tesla Megapack batteries are great for buffering energy at scale!,"May 24, 2024 Â· 10:55 PM UTC",1812,3544,145,31198
@cb_doge,DogeDesigner,"ğ• Creators,  The revenue you generate depends on the number of verified ad impressions you receive.  I recommend encouraging your audience to get verified.","May 24, 2024 Â· 10:27 PM UTC",702,765,100,4450
@cb_doge,DogeDesigner,"Instagram - sad generation with happy pictures ğ• - real people, real thoughts in real-time","May 24, 2024 Â· 4:10 PM UTC",1200,2146,203,15930
@elonmusk,Elon Musk,Could be a good one https://x.com/i/events/1790499866331713536,"May 24, 2024 Â· 5:02 PM UTC",4887,8183,3248,100035
@elonmusk,Elon Musk,OG Doge has ascended to heaven to be with his friend Harambe  (@Not_the_Bee),"May 24, 2024 Â· 3:09 PM UTC",2038,2520,193,31938
@elonmusk,Elon Musk,,"May 24, 2024 Â· 3:06 PM UTC",21242,91619,7860,1110438
@MarioNawfal,Mario Nawfal,"ğŸ‡ºğŸ‡¸ ELON: STARLINK WILL COMPLETE THE GOAL OF A CONNECTED WORLD  ""SpaceX is very focused on the Starlink constellation for internet connectivity.  It's bringing internet connectivity to places which don't have it, or where it's very expensive.  It's a tremendous enabler of education and for enabling people to sell their goods and services internationally.  Even if you're a remote village, you can still sell your goods and services.""  Source: SpaceX","May 24, 2024 Â· 10:58 AM UTC",629,1316,84,7426
@elonmusk,Elon Musk,Flight 4 in about 10 days,"May 24, 2024 Â· 3:07 AM UTC",7967,16075,886,132698
@SawyerMerritt,Sawyer Merritt,"NEWS: Tesla says they received a record 5.9 million job applications in 2023, a 64% increase vs 2022.","May 23, 2024 Â· 3:23 PM UTC",608,1301,149,9620
@elonmusk,Elon Musk,Rocket gymnastics,"May 23, 2024 Â· 9:38 PM UTC",15390,36659,2590,331969
@elonmusk,Elon Musk,Yeah!,"May 23, 2024 Â· 8:57 PM UTC",3891,6492,186,44191
@elonmusk,Elon Musk,"A lot of social media is bad for kids, as there is extreme competition between social media AIs to maximize dopamine!","May 23, 2024 Â· 4:47 PM UTC",5058,17618,800,79553
@elonmusk,Elon Musk,Trust the collective wisdom of the people,"May 23, 2024 Â· 3:36 PM UTC",6035,20790,778,93206
@elonmusk,Elon Musk,People will die if doctors misdiagnose patients,"May 23, 2024 Â· 3:23 PM UTC",16093,41969,2718,174535
@megynkelly,Megyn Kelly,".@BillMaher on Biden's Pandering, Woke Progressives Supporting Terrorists, and The Value of Disagreement  Plus, Stormy Daniels' changing story, the viral Ben Affleck vs. Sam Harris moment, and more. Watch today's FULL show, right here on X:","May 22, 2024 Â· 1:16 AM UTC",1123,1613,115,8300
@elonmusk,Elon Musk,,"May 23, 2024 Â· 7:47 AM UTC",3666,9914,711,69224
@elonmusk,Elon Musk,Activists should be removed as judges,"May 23, 2024 Â· 7:10 AM UTC",15902,63486,3200,311054
@MarioNawfal,Mario Nawfal,"ğŸš¨ELON:  COMMUNITY NOTES WILL MAKE X THE MOST TRUSTED PLACE ON THE INTERNET  â€œThey have corrected me, they have corrected heads of states, multiple timesâ€¦â€  Source: April, 2023","May 23, 2024 Â· 6:53 AM UTC",564,1422,62,8620
@elonmusk,Elon Musk,Asian women earn more than white men,"May 23, 2024 Â· 6:55 AM UTC",9546,31491,2049,177680
@elonmusk,Elon Musk,Is suspect this thought has gone through many menâ€™s minds recently ğŸ˜‚ğŸ˜‚,"May 23, 2024 Â· 6:53 AM UTC",3315,6729,333,75008
@elonmusk,Elon Musk,Community Notes now translated,"May 23, 2024 Â· 6:36 AM UTC",1552,3253,75,17229
@elonmusk,Elon Musk,Some people still believe the legacy media,"May 23, 2024 Â· 6:35 AM UTC",12440,81952,3350,427431
@elonmusk,Elon Musk,Thanks Jensen! @nvidia,"May 23, 2024 Â· 6:28 AM UTC",1397,3634,161,34932
@elonmusk,Elon Musk,Great work by the Notes team!,"May 23, 2024 Â· 2:20 AM UTC",2430,5838,259,40521
@elonmusk,Elon Musk,Interesting visit to @LosAlamosNatLab today. Discussed a lot of science ğŸ˜‰,"May 23, 2024 Â· 1:51 AM UTC",2945,6764,352,51251
@elonmusk,Elon Musk,This would be much appreciated!,"May 23, 2024 Â· 1:43 AM UTC",3130,8218,237,40025
@elonmusk,Elon Musk,Launching @Starlink in Fiji with â¦@PresidentFijiâ©!,"May 23, 2024 Â· 1:02 AM UTC",5246,19079,970,216516
@SpaceX,SpaceX,First video call on @X completed through @Starlink Direct to Cell satellites from unmodified mobile phones!  Weâ€™re excited to go live with @TMobile later this year ğŸ›°ï¸ğŸŒ,"May 21, 2024 Â· 6:12 PM UTC",1191,3357,460,18454
@elonmusk,Elon Musk,Teamwork can solve anything,"May 21, 2024 Â· 4:21 PM UTC",9273,13860,1344,147488
@elonmusk,Elon Musk,Easy to order online in 2 minutes at Starlink.com. No long-term contract required.,"May 21, 2024 Â· 4:46 AM UTC",10114,15312,956,79841
@Starlink,Starlink,"Starlink is connecting more than 3M people with high-speed internet across nearly 100 countries, territories and many other markets.  Thank you to all of our customers around the world! ğŸ›°ï¸ğŸŒâ¤ï¸ â†’ stories.starlink.com","May 20, 2024 Â· 10:06 PM UTC",1586,3618,377,18922
@KanekoaTheGreat,KanekoaTheGreat,"CNBC's Squawk Box discussed Elon Musk's Tesla compensation package when it was first announced in January 2018:  @RayDalio: ""I think it's fabulous. The man is Tesla. I mean, it's his dream. He built the dream... The question is, what are his incentives? ...I think it ties them together.""  @andrewrsorkin: ""This is the ultimate skin in the game... I would argue it's about as shareholder-friendly as you'd get.""   @jimcramer: ""I didn't like it. I loved it. Because you know what? I would double what he gets if he makes that much money for people. And I wish that everyone would take that. I know there was a discussion. I thought that was a great piece. Holy cow. Because what it really did present you was here's a man of conviction.""  @andrewrsorkin: ""I asked him what do you need this money for? Because he always says he's not incentivized by money. And his answer was, he said, 'Look, I want to help humanity pursue this multi-planetary system. Meaning he wants us all to live on Mars. And he said that requires a certain amount of capital. And for his sake, if it works, it may go towards that, which may go towards all of us.""  @elonmusk","May 21, 2024 Â· 12:58 AM UTC",555,1766,126,8931
@elonmusk,Elon Musk,Testing Grok news funny mode  https://x.com/i/trending/1792598188236615772,"May 20, 2024 Â· 11:30 PM UTC",2064,3793,196,20789
@elonmusk,Elon Musk,This is the quality of humor we want from Grok,"May 20, 2024 Â· 11:22 PM UTC",8155,20858,2010,213663
@elonmusk,Elon Musk,This is a Black Mirror episode.   Definitely turning this â€œfeatureâ€ off.,"May 20, 2024 Â· 10:56 PM UTC",13343,34683,3137,187391
@elonmusk,Elon Musk,Congratulations to the @SpaceX team on passing 3 million customers in 99 countries!  And thanks to you for buying @Starlink!,"May 20, 2024 Â· 10:53 PM UTC",3938,10686,545,134487
@elonmusk,Elon Musk,"SpaceX might exceed 90% of all Earth payload to orbit later this year.   Once Starship is launching at high rate, probably >99%. Has to be or we canâ€™t build a city on Mars or base on moon.  We file almost no patents, so nothing stopping competition from copying us.","May 20, 2024 Â· 10:49 PM UTC",2943,8328,743,45644
@elonmusk,Elon Musk,But why does this boycott continue?,"May 20, 2024 Â· 8:31 PM UTC",5149,21064,957,100827
@elonmusk,Elon Musk,"In sharp contrast, ğ• supports child safety bills","May 20, 2024 Â· 8:17 PM UTC",5270,29756,1467,106467
@elonmusk,Elon Musk,The New Woke Times is truly unreadable,"May 20, 2024 Â· 8:09 PM UTC",11203,28583,2045,263144
@elonmusk,Elon Musk,Stream on ğ•,"May 20, 2024 Â· 7:30 PM UTC",14193,42788,5703,665095
@Starlink,Starlink,"Across more than 17,000 islands, Starlinkâ€™s high-speed, low-latency internet is available in Indonesia! ğŸ›°ï¸ğŸ‡®ğŸ‡©â¤ï¸ â†’Â starlink.com/map?country=ID","May 19, 2024 Â· 4:27 PM UTC",349,1324,87,6862
@elonmusk,Elon Musk,Starship Flight 4 in about 2 weeks.  Primary goal is getting through max reentry heating.   Worth noting that no one has ever succeeded in creating a fully reusable heat shield. Shuttle required >6 months of rework.,"May 20, 2024 Â· 6:51 PM UTC",4311,16384,1199,102610
@pmarca,Marc Andreessen ğŸ‡ºğŸ‡¸,"Please enjoy @bhorowitz and me on the American Dream! ğŸ‡ºğŸ‡¸ğŸ’­ğŸš€âœ¨  2:28 Home ownership, education and healthcare 5:43 Self-actualization 7:57 Impact of the Industrial Revolution 9:21 Culture 10:02 The Promised Land  15:52 Anybody can become American 20:24 Protestant work ethic 27:40 Tribalism  31:53 Economy bifurcated into Fast vs. Slow categories 36:33 Subsidizing demand and restricting supply leads to high prices 39:18 The Doom Loop 41:30 How tech can help us achieve the American Dream 43:43 Accreditation process in higher ed 48:25 Zero-sum mentality as the driver of populism 50:19 Are we on the verge of a new American Dream? 53:10 American Dream in the AI era 57:20 Rise of general purpose robotics","May 20, 2024 Â· 5:45 PM UTC",327,877,38,4039
@DimaZeniuk,Dima Zeniuk,â€œI would encourage everyone in a room to look at the cost of solar power has dropped dramatically over the years. The cost of solar power today is extremely low. The cost of batteries to store the energy has also dropped dramatically.â€  â€” Elon Musk,"May 20, 2024 Â· 4:24 AM UTC",552,1177,80,6331
@farzyness,Farzad,"Elon Musk Reveals Plan to Solve World's Water.  Here's an edit of @elonmusk's recent speech at the 10th World Water Forum. This version removes pauses & dead space, saving time by 40%.  Thanks @DavidCarbutt_ for the edit!","May 20, 2024 Â· 1:42 PM UTC",519,1602,138,7867
@elonmusk,Elon Musk,The Tesla team put this together of their own volition (I did not ask for it). Thanks!,"May 20, 2024 Â· 3:04 PM UTC",4172,6484,427,45661
@elonmusk,Elon Musk,Thanks @AvanzaBank!,"May 20, 2024 Â· 3:01 PM UTC",1399,2903,180,19184
